file,study,effect,metric,answer,verdict,note
Bickerton_12_EnvironmentalEntomology_ID-131.pdf,131,ES6,Other (Percentage of egg masses predated),1,no_ref,no reference months for this study or metric
Bickerton_12_EnvironmentalEntomology_ID-131.pdf,131,ES7,Other (Percentage of egg masses predated),1,no_ref,no reference months for this study or metric
Bickerton_12_EnvironmentalEntomology_ID-131.pdf,131,ES8,Other (Percentage of egg masses predated),1,no_ref,no reference months for this study or metric
Bickerton_12_EnvironmentalEntomology_ID-131.pdf,131,ES9,Other (Percentage of egg masses predated),1,no_ref,no reference months for this study or metric
Bickerton_12_EnvironmentalEntomology_ID-131.pdf,131,ES10,Other (Percentage of egg masses predated),2,no_ref,no reference months for this study or metric
Bickerton_12_EnvironmentalEntomology_ID-131.pdf,131,ES11,Other (Percentage of egg masses predated),1,no_ref,no reference months for this study or metric
Bickerton_12_EnvironmentalEntomology_ID-131.pdf,131,ES12,Other (Percentage of egg masses predated),1,no_ref,no reference months for this study or metric
Bickerton_12_EnvironmentalEntomology_ID-131.pdf,131,ES13,Other (Percentage of egg masses predated),1,no_ref,no reference months for this study or metric
Bickerton_12_EnvironmentalEntomology_ID-131.pdf,131,ES14,Other (Percentage of egg masses predated),1,no_ref,no reference months for this study or metric
Bickerton_12_EnvironmentalEntomology_ID-131.pdf,131,ES15,Other (Percentage of egg masses predated),1,no_ref,no reference months for this study or metric
Blaauw_14_JAE.pdf,622,ES1,Density,0,no_ref,no reference months for this study or metric
Blaauw_14_JAE.pdf,622,ES2,Other (percentage cover),0,no_ref,no reference months for this study or metric
Blaauw_14_JAE.pdf,622,ES3,Abundance,0,no_ref,no reference months for this study or metric
Blaauw_14_JAE.pdf,622,ES4,Abundance,0,no_ref,no reference months for this study or metric
Blaauw_14_JAE.pdf,622,ES5,Abundance,0,no_ref,no reference months for this study or metric
Blaauw_14_JAE.pdf,622,ES6,Other (proportion of all pollinators visiting blueberry flowers),24,no_ref,no reference months for this study or metric
Blaauw_14_JAE.pdf,622,ES7,Abundance,12,no_ref,no reference months for this study or metric
Blaauw_14_JAE.pdf,622,ES8,Abundance,24,no_ref,no reference months for this study or metric
Blaauw_14_JAE.pdf,622,ES9,Other (percentage fruit set),36,no_ref,no reference months for this study or metric
Blaauw_14_JAE.pdf,622,ES10,Other (berry weight),36,no_ref,no reference months for this study or metric
Blaauw_14_JAE.pdf,622,ES11,Other (mature seeds per berry),48,no_ref,no reference months for this study or metric
Blaauw_14_JAE.pdf,622,ES12,Other (estimated crop yield per hectare),48,no_ref,no reference months for this study or metric
Blaauw_14_JAE.pdf,622,ES13,Other (estimated crop yield per hectare at field edge),48,no_ref,no reference months for this study or metric
Blaauw_14_JAE.pdf,622,ES14,Other (estimated crop yield per hectare in field interior),48,no_ref,no reference months for this study or metric
Boetzl_22_AEE.pdf,588,ES1,Species Richness,,AI_NA,model withheld
Boetzl_22_AEE.pdf,588,ES2,Activity Density,,AI_NA,model withheld
Boetzl_22_AEE.pdf,588,ES3,Activity Density,,AI_NA,model withheld
Boetzl_22_AEE.pdf,588,ES4,Activity Density,,AI_NA,model withheld
Boetzl_22_AEE.pdf,588,ES5,Species Richness,,AI_NA,model withheld
Boetzl_22_AEE.pdf,588,ES6,Activity Density,,AI_NA,model withheld
Boetzl_22_AEE.pdf,588,ES7,Activity Density,,AI_NA,model withheld
Boetzl_22_AEE.pdf,588,ES8,Activity Density,,AI_NA,model withheld
Boetzl_22_AEE.pdf,588,ES9,Other (species assemblage composition),,AI_NA,model withheld
Campbell_17_AEE_ID-265.pdf,265,ES1,Visitation Rate,25,definite-correct,unique reference value in scope
Campbell_17_AEE_ID-265.pdf,265,ES2,Visitation Rate,25,definite-correct,unique reference value in scope
Campbell_17_AEE_ID-265.pdf,265,ES3,Visitation Rate,25,definite-correct,unique reference value in scope
Campbell_17_AEE_ID-265.pdf,265,ES4,Visitation Rate,25,definite-correct,unique reference value in scope
Campbell_17_AEE_ID-265.pdf,265,ES5,Visitation Rate,25,definite-correct,unique reference value in scope
Campbell_17_AEE_ID-265.pdf,265,ES6,Species Richness,25,no_ref,no reference months for this study or metric
Campbell_17_AEE_ID-265.pdf,265,ES7,Density,25,no_ref,no reference months for this study or metric
Campbell_17_AEE_ID-265.pdf,265,ES8,Other (initial fruit set),26,no_ref,no reference months for this study or metric
Campbell_17_AEE_ID-265.pdf,265,ES9,Other (final fruit set),29,no_ref,no reference months for this study or metric
Campbell_17_Insects_ID-190.pdf,190,ES1,Species Richness,"14 (2012), 26 (2013)",wrong,per-year mismatch: 14(2012) 26(2013)!
Campbell_17_Insects_ID-190.pdf,190,ES2,Abundance,"14 (2012), 26 (2013)",wrong,per-year mismatch: 14(2012) 26(2013)!
Campbell_17_Insects_ID-190.pdf,190,ES3,Abundance,"14 (2012), 26 (2013)",wrong,per-year mismatch: 14(2012) 26(2013)!
Campbell_17_Insects_ID-190.pdf,190,ES4,Species Richness,"14 (2012), 26 (2013)",wrong,per-year mismatch: 14(2012) 26(2013)!
Campbell_17_Insects_ID-190.pdf,190,ES5,Abundance,"14 (2012), 26 (2013)",wrong,per-year mismatch: 14(2012) 26(2013)!
Campbell_17_Insects_ID-190.pdf,190,ES6,Abundance,14,ambiguous,value in scope but more than one possible
Campbell_17_Insects_ID-190.pdf,190,ES7,Species Richness,14,ambiguous,value in scope but more than one possible
Campbell_17_Insects_ID-190.pdf,190,ES8,Abundance,14,ambiguous,value in scope but more than one possible
Campbell_17_Insects_ID-190.pdf,190,ES9,Abundance,14,ambiguous,value in scope but more than one possible
Campbell_17_Insects_ID-190.pdf,190,ES10,Density,14,no_ref,no reference months for this study or metric
Campbell_17_Insects_ID-190.pdf,190,ES11,Other (predator-prey ratio),14,no_ref,no reference months for this study or metric
Campbell_17_Insects_ID-190.pdf,190,ES12,Other (sentinel moth-egg predation rate),26,no_ref,no reference months for this study or metric
Campbell_17_Insects_ID-190.pdf,190,ES13,Other (fruit number per branch),17,no_ref,no reference months for this study or metric
Campbell_17_Insects_ID-190.pdf,190,ES14,Other (harvested fruit size),29,no_ref,no reference months for this study or metric
Campbell_17_Insects_ID-190.pdf,190,ES15,Other (harvested fruit weight),29,no_ref,no reference months for this study or metric
Carvell_04_BiolCons.pdf,4,ES1,Abundance,10,ambiguous,value in scope but more than one possible
Carvell_04_BiolCons.pdf,4,ES2,Abundance,10,ambiguous,value in scope but more than one possible
Carvell_04_BiolCons.pdf,4,ES3,Abundance,10,ambiguous,value in scope but more than one possible
Carvell_04_BiolCons.pdf,4,ES4,Abundance,10,ambiguous,value in scope but more than one possible
Carvell_04_BiolCons.pdf,4,ES5,Abundance,21,wrong,value not in the reference scope
Carvell_04_BiolCons.pdf,4,ES6,Abundance,21,wrong,value not in the reference scope
Carvell_04_BiolCons.pdf,4,ES7,Abundance,21,wrong,value not in the reference scope
Carvell_04_BiolCons.pdf,4,ES8,Abundance,21,wrong,value not in the reference scope
Carvell_04_BiolCons.pdf,4,ES9,Abundance,21,wrong,value not in the reference scope
Carvell_04_BiolCons.pdf,4,ES10,Abundance,21,wrong,value not in the reference scope
Carvell_04_BiolCons.pdf,4,ES11,Abundance,21,wrong,value not in the reference scope
Carvell_04_BiolCons.pdf,4,ES12,Abundance,21,wrong,value not in the reference scope
Carvell_04_BiolCons.pdf,4,ES13,Abundance,21,wrong,value not in the reference scope
Carvell_04_BiolCons.pdf,4,ES14,Abundance,21,wrong,value not in the reference scope
Carvell_04_BiolCons.pdf,4,ES15,Abundance,21,wrong,value not in the reference scope
Carvell_07_JAE_ID-12.pdf,12,ES1,Abundance,8,wrong,value not in the reference scope
Carvell_07_JAE_ID-12.pdf,12,ES2,Abundance,8,wrong,value not in the reference scope
Carvell_07_JAE_ID-12.pdf,12,ES3,Abundance,8,wrong,value not in the reference scope
Carvell_07_JAE_ID-12.pdf,12,ES4,Abundance,8,wrong,value not in the reference scope
Carvell_07_JAE_ID-12.pdf,12,ES5,Abundance,8,wrong,value not in the reference scope
Carvell_07_JAE_ID-12.pdf,12,ES6,Abundance,8,wrong,value not in the reference scope
Carvell_07_JAE_ID-12.pdf,12,ES7,Abundance,8,wrong,value not in the reference scope
Carvell_07_JAE_ID-12.pdf,12,ES8,Abundance,8,wrong,value not in the reference scope
Carvell_07_JAE_ID-12.pdf,12,ES9,Abundance,8,wrong,value not in the reference scope
Carvell_07_JAE_ID-12.pdf,12,ES10,Abundance,8,wrong,value not in the reference scope
Carvell_07_JAE_ID-12.pdf,12,ES11,Species Richness,8,wrong,value not in the reference scope
Carvell_07_JAE_ID-12.pdf,12,ES12,Species Richness,8,wrong,value not in the reference scope
Carvell_07_JAE_ID-12.pdf,12,ES13,Species Richness,8,wrong,value not in the reference scope
Carvell_07_JAE_ID-12.pdf,12,ES14,Species Richness,8,wrong,value not in the reference scope
Carvell_07_JAE_ID-12.pdf,12,ES15,Species Richness,8,wrong,value not in the reference scope
Jacot_07_Improved field margins for a higher biodiversity_AAB.pdf,2617,ES1,Species Richness,24,no_ref,no reference months for this study or metric
Jacot_07_Improved field margins for a higher biodiversity_AAB.pdf,2617,ES2,Abundance,24,no_ref,no reference months for this study or metric
Jacot_07_Improved field margins for a higher biodiversity_AAB.pdf,2617,ES3,Species Richness,24,no_ref,no reference months for this study or metric
Jacot_07_Improved field margins for a higher biodiversity_AAB.pdf,2617,ES4,Abundance,24,no_ref,no reference months for this study or metric
Jacot_07_Improved field margins for a higher biodiversity_AAB.pdf,2617,ES5,Species Richness,24,no_ref,no reference months for this study or metric
Jacot_07_Improved field margins for a higher biodiversity_AAB.pdf,2617,ES6,Abundance,24,no_ref,no reference months for this study or metric
Jacot_07_Improved field margins for a higher biodiversity_AAB.pdf,2617,ES7,Species Richness,24,no_ref,no reference months for this study or metric
Jacot_07_Improved field margins for a higher biodiversity_AAB.pdf,2617,ES8,Abundance,24,no_ref,no reference months for this study or metric
Jacot_07_Improved field margins for a higher biodiversity_AAB.pdf,2617,ES9,Activity Density,,AI_NA,model withheld
Jacot_07_Improved field margins for a higher biodiversity_AAB.pdf,2617,ES10,Species Richness,,AI_NA,model withheld
Jacot_07_Improved field margins for a higher biodiversity_AAB.pdf,2617,ES11,Activity Density,12,no_ref,no reference months for this study or metric
Jacot_07_Improved field margins for a higher biodiversity_AAB.pdf,2617,ES12,Species Richness,12,no_ref,no reference months for this study or metric
Jacot_07_Improved field margins for a higher biodiversity_AAB.pdf,2617,ES13,Activity Density,12,no_ref,no reference months for this study or metric
Jacot_07_Improved field margins for a higher biodiversity_AAB.pdf,2617,ES14,Species Richness,12,no_ref,no reference months for this study or metric
Jacot_07_Improved field margins for a higher biodiversity_AAB.pdf,2617,ES15,Activity Density,12,no_ref,no reference months for this study or metric
Matteson_11_InsectConservDiversity.pdf,561,ES1,Species Richness,14,wrong,value not in the reference scope
Matteson_11_InsectConservDiversity.pdf,561,ES2,Species Richness,14,wrong,value not in the reference scope
Matteson_11_InsectConservDiversity.pdf,561,ES3,Species Richness,14,wrong,value not in the reference scope
Matteson_11_InsectConservDiversity.pdf,561,ES4,Other (Proportion of flower-visitation observations),14,no_ref,no reference months for this study or metric
Matteson_11_InsectConservDiversity.pdf,561,ES5,Abundance,14,no_ref,no reference months for this study or metric
Matteson_11_InsectConservDiversity.pdf,561,ES6,Abundance,10,no_ref,no reference months for this study or metric
Matteson_11_InsectConservDiversity.pdf,561,ES7,Abundance,10,no_ref,no reference months for this study or metric
Matteson_11_InsectConservDiversity.pdf,561,ES8,Abundance,10,no_ref,no reference months for this study or metric
Piko_21_BAE.pdf,1028,ES1,Abundance,,AI_NA,model withheld
Piko_21_BAE.pdf,1028,ES2,Abundance,,AI_NA,model withheld
Piko_21_BAE.pdf,1028,ES3,Abundance,60,wrong,value not in the reference scope
Piko_21_BAE.pdf,1028,ES4,Species Richness,,AI_NA,model withheld
Piko_21_BAE.pdf,1028,ES5,Species Richness,,AI_NA,model withheld
Piko_21_BAE.pdf,1028,ES6,Species Richness,60,wrong,value not in the reference scope
Piko_21_BAE.pdf,1028,ES7,Abundance,,AI_NA,model withheld
Piko_21_BAE.pdf,1028,ES8,Species Richness,,AI_NA,model withheld
Piko_21_BAE.pdf,1028,ES9,Species Richness,,AI_NA,model withheld
Piko_21_BAE.pdf,1028,ES10,Species Richness,60,wrong,value not in the reference scope
Piko_21_BAE.pdf,1028,ES11,Other (Proportion of pollen from sown plant species),,AI_NA,model withheld
Piko_21_BAE.pdf,1028,ES12,Other (Proportion of pollen from sown plant species),,AI_NA,model withheld
Piko_21_BAE.pdf,1028,ES13,Species Richness,,AI_NA,model withheld
Pywell_04_Comparison of new and existing agri-environment scheme option_Defra_ID-2608.pdf,2608,ES1,Species Richness,9,wrong,value not in the reference scope
Pywell_04_Comparison of new and existing agri-environment scheme option_Defra_ID-2608.pdf,2608,ES2,Species Richness,9,wrong,value not in the reference scope
Pywell_04_Comparison of new and existing agri-environment scheme option_Defra_ID-2608.pdf,2608,ES3,Abundance,8,ambiguous,value in scope but more than one possible
Pywell_04_Comparison of new and existing agri-environment scheme option_Defra_ID-2608.pdf,2608,ES4,Abundance,8,ambiguous,value in scope but more than one possible
Pywell_04_Comparison of new and existing agri-environment scheme option_Defra_ID-2608.pdf,2608,ES5,Species Richness,8,ambiguous,value in scope but more than one possible
Pywell_04_Comparison of new and existing agri-environment scheme option_Defra_ID-2608.pdf,2608,ES6,Abundance,8,ambiguous,value in scope but more than one possible
Pywell_04_Comparison of new and existing agri-environment scheme option_Defra_ID-2608.pdf,2608,ES7,Species Richness,8,ambiguous,value in scope but more than one possible
Pywell_04_Comparison of new and existing agri-environment scheme option_Defra_ID-2608.pdf,2608,ES8,Abundance,52,ambiguous,value in scope but more than one possible
Pywell_04_Comparison of new and existing agri-environment scheme option_Defra_ID-2608.pdf,2608,ES9,Species Richness,52,ambiguous,value in scope but more than one possible
Pywell_04_Comparison of new and existing agri-environment scheme option_Defra_ID-2608.pdf,2608,ES10,Species Richness,7,wrong,value not in the reference scope
Pywell_04_Comparison of new and existing agri-environment scheme option_Defra_ID-2608.pdf,2608,ES11,Abundance,13,wrong,value not in the reference scope
Pywell_04_Comparison of new and existing agri-environment scheme option_Defra_ID-2608.pdf,2608,ES12,Species Richness,22,ambiguous,value in scope but more than one possible
Pywell_04_Comparison of new and existing agri-environment scheme option_Defra_ID-2608.pdf,2608,ES13,Abundance,22,ambiguous,value in scope but more than one possible
Pywell_04_Comparison of new and existing agri-environment scheme option_Defra_ID-2608.pdf,2608,ES14,Abundance,9,wrong,value not in the reference scope
Pywell_04_Comparison of new and existing agri-environment scheme option_Defra_ID-2608.pdf,2608,ES15,Species Richness,9,wrong,value not in the reference scope
Pywell_08_Farming for Wildlife Project - Annual Report_NERC Jordans.pdf,2601,ES1,Species Richness,22,wrong,value not in the reference scope
Pywell_08_Farming for Wildlife Project - Annual Report_NERC Jordans.pdf,2601,ES2,Species Richness,3,wrong,value not in the reference scope
Pywell_08_Farming for Wildlife Project - Annual Report_NERC Jordans.pdf,2601,ES3,Species Richness,9,wrong,value not in the reference scope
Pywell_08_Farming for Wildlife Project - Annual Report_NERC Jordans.pdf,2601,ES4,Species Richness,22,wrong,value not in the reference scope
Pywell_08_Farming for Wildlife Project - Annual Report_NERC Jordans.pdf,2601,ES5,Species Richness,3,wrong,value not in the reference scope
Pywell_08_Farming for Wildlife Project - Annual Report_NERC Jordans.pdf,2601,ES6,Species Richness,9,wrong,value not in the reference scope
Pywell_08_Farming for Wildlife Project - Annual Report_NERC Jordans.pdf,2601,ES7,Abundance,22,wrong,value not in the reference scope
Pywell_08_Farming for Wildlife Project - Annual Report_NERC Jordans.pdf,2601,ES8,Abundance,3,wrong,value not in the reference scope
Pywell_08_Farming for Wildlife Project - Annual Report_NERC Jordans.pdf,2601,ES9,Abundance,22,wrong,value not in the reference scope
Pywell_08_Farming for Wildlife Project - Annual Report_NERC Jordans.pdf,2601,ES10,Abundance,3,wrong,value not in the reference scope
Pywell_08_Farming for Wildlife Project - Annual Report_NERC Jordans.pdf,2601,ES11,Abundance,23,ambiguous,value in scope but more than one possible
Pywell_08_Farming for Wildlife Project - Annual Report_NERC Jordans.pdf,2601,ES12,Abundance,4,wrong,value not in the reference scope
Pywell_08_Farming for Wildlife Project - Annual Report_NERC Jordans.pdf,2601,ES13,Abundance,24,wrong,value not in the reference scope
Pywell_08_Farming for Wildlife Project - Annual Report_NERC Jordans.pdf,2601,ES14,Abundance,9,wrong,value not in the reference scope
Pywell_08_Farming for Wildlife Project - Annual Report_NERC Jordans.pdf,2601,ES15,Species Richness,9,wrong,value not in the reference scope
Scheper_15_JAE.pdf,516,ES1,Other (flower cover),12,no_ref,no reference months for this study or metric
Scheper_15_JAE.pdf,516,ES2,Species Richness,12,wrong,value not in the reference scope
Scheper_15_JAE.pdf,516,ES3,Abundance,12,wrong,value not in the reference scope
Scheper_15_JAE.pdf,516,ES4,Species Richness,12,wrong,value not in the reference scope
Scheper_15_JAE.pdf,516,ES5,Abundance,12,wrong,value not in the reference scope
Scheper_15_JAE.pdf,516,ES6,Species Richness,9,wrong,value not in the reference scope
Scheper_15_JAE.pdf,516,ES7,Abundance,9,ambiguous,value in scope but more than one possible
Scheper_15_JAE.pdf,516,ES8,Species Richness,9,wrong,value not in the reference scope
Schubert_22_Basic&ApplEcol.pdf,1473,ES1,Species Richness,,AI_NA,model withheld
Schubert_22_Basic&ApplEcol.pdf,1473,ES2,Abundance,,AI_NA,model withheld
Schubert_22_Basic&ApplEcol.pdf,1473,ES3,Other (share of total species richness),,AI_NA,model withheld
Venturini_2017.pdf,2626,ES1,Visitation Rate,0,wrong,value not in the reference scope
Venturini_2017.pdf,2626,ES2,Visitation Rate,48,wrong,value not in the reference scope
Venturini_2017.pdf,2626,ES3,Shannon Diversity,0,no_ref,no reference months for this study or metric
Venturini_2017.pdf,2626,ES4,Shannon Diversity,0,no_ref,no reference months for this study or metric
Venturini_2017.pdf,2626,ES5,Species Richness,0,no_ref,no reference months for this study or metric
Venturini_2017.pdf,2626,ES6,Other (species evenness),0,no_ref,no reference months for this study or metric
Venturini_2017.pdf,2626,ES7,Species Richness,0,no_ref,no reference months for this study or metric
Venturini_2017.pdf,2626,ES8,Other (species evenness),0,no_ref,no reference months for this study or metric
Venturini_2017.pdf,2626,ES9,Species Richness,0,no_ref,no reference months for this study or metric
Venturini_2017.pdf,2626,ES10,Other (species evenness),0,no_ref,no reference months for this study or metric
Venturini_2017.pdf,2626,ES11,Species Richness,0,no_ref,no reference months for this study or metric
Venturini_2017.pdf,2626,ES12,Other (Species evenness),0,no_ref,no reference months for this study or metric
Venturini_2017.pdf,2626,ES13,Other (Pollen-taxon diversity),0,no_ref,no reference months for this study or metric
Venturini_2017.pdf,2626,ES14,Other (Pollen-taxon evenness),0,no_ref,no reference months for this study or metric
Markó_12_mites_BioConScTech_ID-164.pdf,164,ES1,Abundance,2.0,no_ref,no reference months for this study or metric
Markó_12_mites_BioConScTech_ID-164.pdf,164,ES2,Abundance,2.0,no_ref,no reference months for this study or metric
Markó_12_mites_BioConScTech_ID-164.pdf,164,ES3,Abundance,2.0,no_ref,no reference months for this study or metric
Markó_12_mites_BioConScTech_ID-164.pdf,164,ES4,Abundance,2.0,no_ref,no reference months for this study or metric
Markó_12_mites_BioConScTech_ID-164.pdf,164,ES5,Species Richness,2.0,no_ref,no reference months for this study or metric
Markó_12_mites_BioConScTech_ID-164.pdf,164,ES6,Abundance,2.0,no_ref,no reference months for this study or metric
Markó_12_mites_BioConScTech_ID-164.pdf,164,ES7,Abundance,2.0,no_ref,no reference months for this study or metric
Markó_12_mites_BioConScTech_ID-164.pdf,164,ES8,Abundance,2.0,no_ref,no reference months for this study or metric
Markó_12_mites_BioConScTech_ID-164.pdf,164,ES9,Other (parasitism rate),2.0,no_ref,no reference months for this study or metric
Markó_12_mites_BioConScTech_ID-164.pdf,164,ES10,Species Richness,2.0,no_ref,no reference months for this study or metric
Markó_12_mites_BioConScTech_ID-164.pdf,164,ES11,Other (offspring sex ratio),1.0,no_ref,no reference months for this study or metric
Markó_12_mites_BioConScTech_ID-164.pdf,164,ES12,Abundance,1.0,no_ref,no reference months for this study or metric
Markó_12_mites_BioConScTech_ID-164.pdf,164,ES13,Other (percentage of apple fruits injured),6.0,no_ref,no reference months for this study or metric
Markó_12_mites_BioConScTech_ID-164.pdf,164,ES14,Other (percentage of apple fruits injured),6.0,no_ref,no reference months for this study or metric
Markó_12_mites_BioConScTech_ID-164.pdf,164,ES15,Other (percentage of apples without insect damage),6.0,no_ref,no reference months for this study or metric
Markó_13_aphids_BioConScTech.pdf,429,ES1,Abundance,3.0,wrong,value not in the reference scope
Markó_13_aphids_BioConScTech.pdf,429,ES2,Other (infestation severity index),6.0,no_ref,no reference months for this study or metric
Markó_13_aphids_BioConScTech.pdf,429,ES3,Abundance,2.0,wrong,value not in the reference scope
Markó_13_aphids_BioConScTech.pdf,429,ES4,Abundance,2.0,wrong,value not in the reference scope
Markó_13_aphids_BioConScTech.pdf,429,ES5,Abundance,2.0,wrong,value not in the reference scope
Markó_13_aphids_BioConScTech.pdf,429,ES6,Abundance,2.0,wrong,value not in the reference scope
Markó_13_aphids_BioConScTech.pdf,429,ES7,Abundance,2.0,wrong,value not in the reference scope
Markó_13_aphids_BioConScTech.pdf,429,ES8,Abundance,2.0,wrong,value not in the reference scope
Markó_13_aphids_BioConScTech.pdf,429,ES9,Abundance,2.0,wrong,value not in the reference scope
Markó_13_aphids_BioConScTech.pdf,429,ES10,Abundance,2.0,wrong,value not in the reference scope
Markó_13_aphids_BioConScTech.pdf,429,ES11,Abundance,2.0,wrong,value not in the reference scope
Markó_13_aphids_BioConScTech.pdf,429,ES12,Abundance,2.0,wrong,value not in the reference scope
Markó_13_aphids_BioConScTech.pdf,429,ES13,Abundance,2.0,wrong,value not in the reference scope
Markó_13_aphids_BioConScTech.pdf,429,ES14,Abundance,2.0,wrong,value not in the reference scope
Markó_13_aphids_BioConScTech.pdf,429,ES15,Species Richness,2.0,wrong,value not in the reference scope
Markó_14_spiders_BioConScTech.pdf,2656,ES1,Abundance,1.0,wrong,value not in the reference scope
Markó_14_spiders_BioConScTech.pdf,2656,ES2,Species Richness,1.0,wrong,value not in the reference scope
Markó_14_spiders_BioConScTech.pdf,2656,ES3,Species Richness,1.0,wrong,value not in the reference scope
Markó_14_spiders_BioConScTech.pdf,2656,ES4,Abundance,1.0,wrong,value not in the reference scope
Markó_14_spiders_BioConScTech.pdf,2656,ES5,Abundance,1.0,wrong,value not in the reference scope
Markó_14_spiders_BioConScTech.pdf,2656,ES6,Abundance,2.0,wrong,value not in the reference scope
Markó_14_spiders_BioConScTech.pdf,2656,ES7,Abundance,2.0,wrong,value not in the reference scope
Markó_14_spiders_BioConScTech.pdf,2656,ES8,Abundance,2.0,wrong,value not in the reference scope
Markó_14_spiders_BioConScTech.pdf,2656,ES9,Abundance,2.0,wrong,value not in the reference scope
Markó_14_spiders_BioConScTech.pdf,2656,ES10,Abundance,2.0,wrong,value not in the reference scope
Markó_14_spiders_BioConScTech.pdf,2656,ES11,Abundance,,AI_NA,model withheld
Markó_14_spiders_BioConScTech.pdf,2656,ES12,Abundance,,AI_NA,model withheld
Markó_14_spiders_BioConScTech.pdf,2656,ES13,Abundance,,AI_NA,model withheld
Markó_14_spiders_BioConScTech.pdf,2656,ES14,Abundance,,AI_NA,model withheld
Markó_14_spiders_BioConScTech.pdf,2656,ES15,Abundance,,AI_NA,model withheld
