file,doi,gt_study,how,gt_rows,matched,size,lang
Scheper_15_JAE.pdf,10.1111/1365-2664.12479,516.0,DOI,48.0,True,L(>30),en
Schubert_22_Basic&ApplEcol.pdf,10.1016/j.baae.2021.12.007,1473.0,DOI,1.0,True,S(1-5),en
Shrewsbury_04_IntlJEcolEnvtllSc.pdf,,2143.0,MANUAL,2.0,True,S(1-5),en
Simao_2018.pdf,10.1111/1365-2664.13085,1153.0,DOI,6.0,True,M(6-30),en
Sutton_20_Operation pollinator_OutlookPestMgmt_ID-2624.pdf,,2624.0,ID,1624.0,True,L(>30),en
Turo_21_JAE.pdf,10.1111/1365-2664.13773,1448.0,DOI,68.0,True,L(>30),en
Venturini_2017.pdf,10.1093/jee/tow285,2626.0,DOI,1.0,True,S(1-5),en
Westbury_17_AEE.pdf,10.1016/j.agee.2017.02.031,349.0,AUTHOR,2.0,True,S(1-5),en
Williams_15_EcolApp.pdf,,1155.0,AUTHOR,109.0,True,L(>30),en
Zhang_19_JInsectSci_ID-686.pdf,10.1093/jisesa/iez055,686.0,DOI,4.0,True,S(1-5),en
paper19_plath2021.pdf,10.1016/j.agee.2021.107457,963.0,DOI,6.0,True,M(6-30),en
von Königslöw_2022.pdf,10.1007/s10531-021-02338-w,407.0,DOI,6.0,True,M(6-30),de/non-en
